dhd,dhdLabel,affiliation,affiliationLabel
https://database.factgrid.de/entity/Q396825,DHd 2014,https://database.factgrid.de/entity/Q34721,Universität Würzburg
https://database.factgrid.de/entity/Q396825,DHd 2014,https://database.factgrid.de/entity/Q248210,Technische Hochschule / Universität Darmstadt
https://database.factgrid.de/entity/Q396825,DHd 2014,https://database.factgrid.de/entity/Q21893,Eberhard Karls Universität Tübingen
https://database.factgrid.de/entity/Q396825,DHd 2014,https://database.factgrid.de/entity/Q219414,"Österreichische Nationalbibliothek, Wien"
https://database.factgrid.de/entity/Q396825,DHd 2014,https://database.factgrid.de/entity/Q984142,Beethoven-Haus
https://database.factgrid.de/entity/Q396825,DHd 2014,https://database.factgrid.de/entity/Q172914,Universität Hamburg
https://database.factgrid.de/entity/Q396825,DHd 2014,https://database.factgrid.de/entity/Q23384,Universität Innsbruck
https://database.factgrid.de/entity/Q396825,DHd 2014,https://database.factgrid.de/entity/Q464995,Goethe-Universität Frankfurt am Main
https://database.factgrid.de/entity/Q396825,DHd 2014,https://database.factgrid.de/entity/Q153197,"BSB | Bayerische Staatsbibliothek, München"
https://database.factgrid.de/entity/Q396825,DHd 2014,https://database.factgrid.de/entity/Q984124,Universität Bergen
https://database.factgrid.de/entity/Q396825,DHd 2014,https://database.factgrid.de/entity/Q984169,Q984169
https://database.factgrid.de/entity/Q396825,DHd 2014,https://database.factgrid.de/entity/Q399974,Österreichische Akademie der Wissenschaften
https://database.factgrid.de/entity/Q396825,DHd 2014,https://database.factgrid.de/entity/Q22592,Ludoviciana / Justus-Liebig-Universität Gießen
https://database.factgrid.de/entity/Q396825,DHd 2014,https://database.factgrid.de/entity/Q22837,"Universität zu Berlin / Friedrich Wilhelms / Humboldt Universität, Berlin"
https://database.factgrid.de/entity/Q396825,DHd 2014,https://database.factgrid.de/entity/Q21887,LMU | Ludwig-Maximilians-Universität München
https://database.factgrid.de/entity/Q396825,DHd 2014,https://database.factgrid.de/entity/Q984228,Q984228
https://database.factgrid.de/entity/Q396825,DHd 2014,https://database.factgrid.de/entity/Q399791,Universität Paderborn
https://database.factgrid.de/entity/Q396825,DHd 2014,https://database.factgrid.de/entity/Q396813,DHd - Digital Humanities im deutschsprachigen Raum
