author,authorLabel,genderLabel,orcid
https://database.factgrid.de/entity/Q398396,Daniel Kurzawe,Männliches Geschlecht,0000-0001-5027-7313
https://database.factgrid.de/entity/Q396660,Christiane Fritze,Weibliches Geschlecht,0000-0001-5099-8970
https://database.factgrid.de/entity/Q989449,Sarah Pittroff,Weibliches Geschlecht,0000-0001-5134-1081
https://database.factgrid.de/entity/Q396726,Marco Klindt,Männliches Geschlecht,0000-0001-5198-2225
https://database.factgrid.de/entity/Q989315,Claudia Berger,Weibliches Geschlecht,0000-0001-5203-0971
https://database.factgrid.de/entity/Q396602,Melanie Althage,Weibliches Geschlecht,0000-0001-5233-1061
https://database.factgrid.de/entity/Q396697,Clemens Neudecker,Männliches Geschlecht,0000-0001-5293-8322
https://database.factgrid.de/entity/Q989316,Manuela Mayer,Weibliches Geschlecht,0000-0001-5311-2864
https://database.factgrid.de/entity/Q396795,Birte Gnau-Franké,Weibliches Geschlecht,0000-0001-5363-5235
https://database.factgrid.de/entity/Q1380436,Ralf Schenkel,Männliches Geschlecht,0000-0001-5379-5191
https://database.factgrid.de/entity/Q989317,Yasir Yilmaz,Männliches Geschlecht,0000-0001-5387-3532
https://database.factgrid.de/entity/Q245658,Clemens Beck,Männliches Geschlecht,0000-0001-5396-1612
https://database.factgrid.de/entity/Q1380453,Lena Steinmann,Weibliches Geschlecht,0000-0001-5443-0581
https://database.factgrid.de/entity/Q396806,Marinella Testori,Weibliches Geschlecht,0000-0001-5466-3262
https://database.factgrid.de/entity/Q989318,Kathrin Fischeidl,Weibliches Geschlecht,0000-0001-5508-7826
https://database.factgrid.de/entity/Q396647,Julia Dudar,Weibliches Geschlecht,0000-0001-5545-9562
https://database.factgrid.de/entity/Q989319,Michel Schwab,Männliches Geschlecht,0000-0001-5569-6568
https://database.factgrid.de/entity/Q396630,Anna Busch,Weibliches Geschlecht,0000-0001-5584-4807
https://database.factgrid.de/entity/Q396771,Martha Stellmacher,Weibliches Geschlecht,0000-0001-5655-0130
https://database.factgrid.de/entity/Q989320,Pattrick Piel,Männliches Geschlecht,0000-0001-5809-2815
