dhd,dhdLabel,maleCount,femaleCount,totalCount,malePercentage,femalePercentage
https://database.factgrid.de/entity/Q396825,DHd 2014,176,70,246,71.54,28.46
https://database.factgrid.de/entity/Q396824,DHd 2015,212,103,315,67.3,32.7
https://database.factgrid.de/entity/Q396823,DHd 2016,284,150,434,65.44,34.56
https://database.factgrid.de/entity/Q396822,DHd 2017,161,87,248,64.92,35.08
https://database.factgrid.de/entity/Q396821,DHd 2018,272,147,419,64.92,35.08
https://database.factgrid.de/entity/Q396820,DHd 2019,207,103,310,66.77,33.23
https://database.factgrid.de/entity/Q396819,DHd 2020,192,129,321,59.81,40.19
https://database.factgrid.de/entity/Q396080,DHd 2022,240,179,419,57.28,42.72
https://database.factgrid.de/entity/Q538636,DHd 2023,216,181,397,54.41,45.59
https://database.factgrid.de/entity/Q907865,DHd 2024,237,178,415,57.11,42.89
https://database.factgrid.de/entity/Q907864,DHd 2025,238,176,414,57.49,42.51
